"REF","RT","GT","BT","LT","aT","BT"
"17-1456 TCX","226.0","88.0","62.0","75.3","44.0","31.0"
"16-1541 TCX","246.0","116.0","95.0","82.0","58.0","47.5"
"17-1663 TCX","217.0","55.0","68.0","72.3","27.5","34.0"
"18-1652 TCX","187.0","54.0","63.0","62.3","27.0","31.5"
"19-1763 TCX","189.0","22.0","44.0","63.0","11.0","22.0"
"17-1558 TCX","223.0","63.0","50.0","74.3","31.5","25.0"
"16-1451 TCX","254.0","99.0","71.0","84.7","49.5","35.5"
"17-1664 TCX","220.0","52.0","59.0","73.3","26.0","29.5"
"18-1661 TCX","197.0","51.0","70.0","65.7","25.5","35.0"
"18-1655 TCX","188.0","39.0","50.0","62.7","19.5","25.0"
"17-1562 TCX","231.0","74.0","51.0","77.0","37.0","25.5"
"17-1547 TCX","234.0","103.0","89.0","78.0","51.5","44.5"
"18-1660 TCX","206.0","41.0","57.0","68.7","20.5","28.5"
"18-1764 TCX","204.0","28.0","59.0","68.0","14.0","29.5"
"19-1761 TCX","172.0","12.0","45.0","57.3","6.0","22.5"
"17-1564 TCX","221.0","65.0","50.0","73.7","32.5","25.0"
"17-1544 TCX","198.0","93.0","82.0","66.0","46.5","41.0"
"18-1664 TCX","208.0","28.0","31.0","69.3","14.0","15.5"
"18-1761 TCX","187.0","18.0","55.0","62.3","9.0","27.5"
"18-1663 TCX","190.0","19.0","45.0","63.3","9.5","22.5"
"17-1563 TCX","235.0","60.0","39.0","78.3","30.0","19.5"
"17-1553 TCX","206.0","77.0","66.0","68.7","38.5","33.0"
"18-1662 TCX","205.0","33.0","42.0","68.3","16.5","21.0"
"19-1760 TCX","188.0","44.0","61.0","62.7","22.0","30.5"
"19-1663 TCX","185.0","38.0","54.0","61.7","19.0","27.0"
"18-1561 TCX","218.0","50.0","28.0","72.7","25.0","14.0"
"18-1454 TCX","194.0","69.0","45.0","64.7","34.5","22.5"
"18-1763 TCX","199.0","31.0","45.0","66.3","15.5","22.5"
"19-1764 TCX","179.0","27.0","56.0","59.7","13.5","28.0"
"19-1664 TCX","191.0","25.0","50.0","63.7","12.5","25.0"
"18-1445 TCX","215.0","61.0","38.0","71.7","30.5","19.0"
"18-1555 TCX","181.0","51.0","46.0","60.3","25.5","23.0"
"18-1550 TCX","185.0","58.0","50.0","61.7","29.0","25.0"
"19-1762 TCX","174.0","15.0","54.0","58.0","7.5","27.0"
"19-1557 TCX","155.0","27.0","48.0","51.7","13.5","24.0"
